city,state_id,state,county_name,lat,lng,population,density
New York,NY,New York,New York,40.6943,-73.9249,18713220,10715
Los Angeles,CA,California,Los Angeles,34.1139,-118.4068,12750807,3276
Chicago,IL,Illinois,Cook,41.8373,-87.6862,8604203,4574
Miami,FL,Florida,Miami-Dade,25.7839,-80.2102,6445545,5019
Dallas,TX,Texas,Dallas,32.7936,-96.7662,5743938,1526
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5649300,4554
Houston,TX,Texas,Harris,29.7863,-95.3889,5464251,1399
Atlanta,GA,Georgia,Fulton,33.7627,-84.4224,5449398,1441
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5379184,4457
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0846,4688346,5532
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0891,4219697,1253
Seattle,WA,Washington,King,47.6211,-122.3244,3789215,3469
San Francisco,CA,California,San Francisco,37.7562,-122.443,3592294,7256
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3506126,1864
San Diego,CA,California,San Diego,32.8312,-117.1225,3220118,1686
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2977172,3071
Tampa,FL,Florida,Hillsborough,27.9942,-82.4451,2908063,1353
Denver,CO,Colorado,Denver,39.7621,-104.8759,2876625,1831
Brooklyn,NY,New York,Kings,40.6501,-73.9496,2559903,14221
Queens,NY,New York,Queens,40.7498,-73.7976,2230722,7885
Riverside,CA,California,Riverside,33.9381,-117.3948,2107852,1574
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2106068,2830
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2104198,1773
Portland,OR,Oregon,Multnomah,45.5372,-122.65,2074775,1894
San Antonio,TX,Texas,Bexar,29.4658,-98.5253,2049293,1231
St. Louis,MO,Missouri,St. Louis,38.6358,-90.2451,2024074,1879
Sacramento,CA,California,Sacramento,38.5667,-121.4683,1898019,2029
Orlando,FL,Florida,Orange,28.4772,-81.3369,1822394,1003
San Jose,CA,California,Santa Clara,37.3019,-121.8486,1798103,2218
Cleveland,OH,Ohio,Cuyahoga,41.4767,-81.6804,1710093,1893
Pittsburgh,PA,Pennsylvania,Allegheny,40.4396,-79.9762,1703266,2093
Austin,TX,Texas,Travis,30.3004,-97.7522,1687311,1181
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.5061,1662691,1507
Kansas City,MO,Missouri,Jackson,39.1239,-94.5541,1636715,607
Manhattan,NY,New York,New York,40.7834,-73.9662,1628706,27545
Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1588961,935
Columbus,OH,Ohio,Franklin,39.9862,-82.985,1562009,1582
Charlotte,NC,North Carolina,Mecklenburg,35.208,-80.8304,1512923,1113
Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,1478868,709
Bronx,NY,New York,Bronx,40.8501,-73.8662,1418207,12862
Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9673,1365787,2369
Providence,RI,Rhode Island,Providence,41.823,-71.4187,1203230,3773
Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1181496,470
Salt Lake City,UT,Utah,Salt Lake,40.7777,-111.9306,1098526,699
Nashville,TN,Tennessee,Davidson,36.1715,-86.7843,1081903,544
Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1075798,1484
Memphis,TN,Tennessee,Shelby,35.1046,-89.9773,1066967,792
Raleigh,NC,North Carolina,Wake,35.8325,-78.6435,1038738,1254
New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,1020886,889
Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,1005654,905
Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,972943,417
Bridgeport,CT,Connecticut,Fairfield,41.1918,-73.1953,924449,3470
Buffalo,NY,New York,Erie,42.9016,-78.8487,914341,2441
Fort Worth,TX,Texas,Tarrant,32.7811,-97.3473,909585,1016
Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,905152,2712
Tucson,AZ,Arizona,Pima,32.1545,-110.8782,888486,889
Omaha,NE,Nebraska,Douglas,41.2627,-96.0522,847819,1309
El Paso,TX,Texas,El Paso,31.8479,-106.4309,843386,1022
Honolulu,HI,Hawaii,Honolulu,21.3294,-157.846,820987,2200
McAllen,TX,Texas,Hidalgo,26.2273,-98.2471,804114,841
Albuquerque,NM,New Mexico,Bernalillo,35.1053,-106.6464,761195,1155
Birmingham,AL,Alabama,Jefferson,33.5277,-86.7987,739573,553
Sarasota,FL,Florida,Sarasota,27.3386,-82.5431,722243,1528
Dayton,OH,Ohio,Montgomery,39.7797,-84.1998,718353,978
Rochester,NY,New York,Monroe,43.168,-77.6162,703952,2220
Fresno,CA,California,Fresno,36.7831,-119.7941,703498,1789
Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,683794,2672
Tulsa,OK,Oklahoma,Tulsa,36.1284,-95.9042,671033,784
Cape Coral,FL,Florida,Lee,26.6446,-81.9956,668382,708
Concord,CA,California,Contra Costa,37.9722,-122.0016,652308,1633
Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7606,642413,946
Charleston,SC,South Carolina,Charleston,32.8153,-79.9628,628377,480
Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,623401,1860
Grand Rapids,MI,Michigan,Kent,42.962,-85.6562,609314,1734
Mission Viejo,CA,California,Orange,33.6095,-117.655,590249,2058
Albany,NY,New York,Albany,42.6664,-73.7987,586383,1740
Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,586048,733
Bakersfield,CA,California,Kern,35.3529,-119.0359,579295,990
Ogden,UT,Utah,Weber,41.2278,-111.9682,578523,1230
Baton Rouge,LA,Louisiana,East Baton Rouge,30.4418,-91.131,570308,983
Akron,OH,Ohio,Summit,41.0798,-81.5219,565208,1231
New Haven,CT,Connecticut,New Haven,41.3112,-72.9246,564830,2690
Columbia,SC,South Carolina,Richland,34.0376,-80.9037,560041,373
Mesa,AZ,Arizona,Maricopa,33.4017,-111.718,518012,1448
Palm Bay,FL,Florida,Brevard,27.955,-80.6627,507002,456
Provo,UT,Utah,Utah,40.2457,-111.6457,500617,1080
Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,498328,1916
Murrieta,CA,California,Riverside,33.572,-117.1909,496046,1335
Greenville,SC,South Carolina,Greenville,34.8353,-82.3647,484465,920
Wichita,KS,Kansas,Sedgwick,37.6896,-97.3442,482249,931
Toledo,OH,Ohio,Lucas,41.6639,-83.5822,482111,1308
Staten Island,NY,New York,Richmond,40.5834,-74.1496,476143,3156
Des Moines,IA,Iowa,Polk,41.5725,-93.6105,473957,938
Long Beach,CA,California,Los Angeles,33.7981,-118.1675,462628,3523
Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3883,461152,653
Denton,TX,Texas,Denton,33.2176,-97.1419,457177,567
Madison,WI,Wisconsin,Dane,43.0826,-89.3931,447245,1263
Reno,NV,Nevada,Washoe,39.5497,-119.8483,445020,907
Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,442289,2343
Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3576,439815,634
Oakland,CA,California,Alameda,37.7903,-122.2165,433031,2991
Durham,NC,North Carolina,Durham,35.9794,-78.9031,424700,959
Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.2611,422269,721
Bonita Springs,FL,Florida,Lee,26.3559,-81.7861,421291,600
Indio,CA,California,Riverside,33.7346,-116.2346,417059,1066
Palm Coast,FL,Florida,Flagler,29.5392,-81.246,417007,364
Chattanooga,TN,Tennessee,Hamilton,35.0657,-85.2488,415501,493
Spokane,WA,Washington,Spokane,47.6671,-117.433,412275,1247
Syracuse,NY,New York,Onondaga,43.0409,-76.1438,404223,2195
Lancaster,PA,Pennsylvania,Lancaster,40.0421,-76.3012,401524,3166
Arlington,TX,Texas,Tarrant,32.6998,-97.125,398854,1607
Stockton,CA,California,San Joaquin,37.9765,-121.3109,397264,1941
Poughkeepsie,NY,New York,Dutchess,41.6949,-73.921,394760,2290
Augusta,GA,Georgia,Richmond,33.3645,-82.0708,390809,252
Boise,"ID",Idaho,Ada,43.6007,-116.2312,389280,1056
Oxnard,CA,California,Ventura,34.1963,-119.1815,387647,3040
Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,384250,1169
Modesto,CA,California,Stanislaus,37.6374,-121.0028,383134,1933
Kissimmee,FL,Florida,Osceola,28.3042,-81.4164,382720,1349
Aurora,CO,Colorado,Adams,39.7087,-104.7273,379289,949
Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,378732,744
Fayetteville,AR,Arkansas,Washington,36.0713,-94.166,351246,625
Anaheim,CA,California,Orange,33.839,-117.8572,350365,2688
Pensacola,FL,Florida,Escambia,30.4427,-87.1886,346921,903
Victorville,CA,California,San Bernardino,34.5277,-117.3536,346789,641
Lancaster,CA,California,Los Angeles,34.6935,-118.1753,343304,645
Greensboro,NC,North Carolina,Guilford,36.0956,-79.8269,343090,887
Corpus Christi,TX,Texas,Nueces,27.726,-97.3755,342464,789
Fort Wayne,IN,Indiana,Allen,41.0886,-85.1437,334122,943
Santa Ana,CA,California,Orange,33.7366,-117.8819,332318,4689
Flint,MI,Michigan,Genesee,43.0235,-83.6922,332190,1103
Fayetteville,NC,North Carolina,Cumberland,35.0846,-78.9776,327435,552
Jackson,MS,Mississippi,Hinds,32.3163,-90.2124,325350,558
Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,324634,1605
Lansing,MI,Michigan,Ingham,42.7142,-84.5601,324286,1164
San Juan,PR,Puerto Rico,San Juan,18.4037,-66.0636,323279,3157
Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,323152,439
Ann Arbor,MI,Michigan,Washtenaw,42.2755,-83.7312,322267,1659
Henderson,NV,Nevada,Clark,36.0133,-115.038,320189,1165
Huntsville,AL,Alabama,Madison,34.6988,-86.6412,319249,361
Mobile,AL,Alabama,Mobile,30.6783,-88.1162,315502,522
Fort Collins,CO,Colorado,Larimer,40.5478,-105.0656,312666,1149
Asheville,NC,North Carolina,Buncombe,35.5704,-82.5536,312507,786
Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,312446,1162
St. Paul,MN,Minnesota,Ramsey,44.9477,-93.104,308096,2288
Antioch,CA,California,Contra Costa,37.9789,-121.7958,302419,1466
Lakeland,FL,Florida,Polk,28.0556,-81.9545,302284,654
